screen_name	name	gender	followers_count	statuses_count	location	account_age
AshAlexiss	Ashley Alexiss	female	188763	55630	Los Angeles & Eastern PA	2929
Benioff	Marc Benioff	male	986665	19043	Salesforce.com	3575
BrennerMichael	Michael Brenner	male	102869	56684	Philadelphia, PA	3444
BrianLischer	Brian Lischer	male	48085	769	San Diego, CA	3418
ChuckRobbins	Chuck Robbins	male	36914	1199	San Francisco Bay Area	3710
DanielleMorrill	Danielle Morrill	female	71969	211	nan	4192
HollyRansom	Holly Ransom	female	62849	19248	Australia	3371
JackParsons_CEO	Jack Parsons	male	36572	10262	London, England	2914
Jacqueline_Gold	Jacqueline Gold CBE	female	58587	36953	London, UK	2894
JavierBeBee	Javier beBee 🐝🐝	male	21106	64804	nan	1123
JeffBezos	Jeff Bezos	male	618845	171	nan	3798
Jenn_RTR	Jennifer Hyman	female	62138	1651	New York, NY	3006
JeremyBloom11	Jeremy Bloom	male	13128	2849	integrate.com	3540
JohnLegere	John Legere	male	5718703	42084	Bellevue,WA/New York City	2053
Jon_Ferrara	Jon Ferrara	male	27343	56988	Santa Monica	3802
JosephSteinberg	Joseph Steinberg	male	78876	8982	New York, USA	3524
KeithJKrach	Keith Krach	male	184060	4169	San Francisco, California	2684
Lord_Sugar	Lord Sugar	unknown	5309964	46666	nan	3090
MarkVHurd	Mark Hurd	male	83778	567	Redwood Shores, CA	2584
MauroBiasolo	Mauro Biasolo	male	33563	8235	Vicenza, Veneto	2641
MegWhitman	Meg Whitman	female	213527	820	California	3591
MichaelDell	Michael Dell	male	674355	4058	Austin, TX	3433
MikeKawula	Mike Kawula 🌴🐨🌴	male	112547	126345	Tampa, FL	3272
MorrisseyHelena	Helena Morrissey DBE	female	23210	16005	London UK	2643
NikaStewart	Nika Stewart	female	85011	79256	NJ, NYC, & worldwide	4013
OlgaKay	Olga Kay	female	197460	32063	Los Angeles	3862
PeterBordes	Peter Bordes	male	53564	18858	New York City	3918
RonanDunneVZW	Ronan Dunne	male	32188	7758	New Jersey	2558
SKellyCEO	Stephen Kelly	male	24729	7145	Newcastle, London, Atlanta.	2256
ShellyKramer	Shelly Kramer	female	104184	203452	Kansas City, MO	3636
StandardofTrust	Rob Peters	male	45667	45093	Chicago | London | Worldwide	3783
SteveZeitch	Steve Zeitchik	male	29990	40412	nan	2986
TamaraMcCleary	Tamara McCleary	female	274893	88592	Boulder, CO	1785
TimWJackson	Tim Jackson CMP CAE	male	29121	65024	Denver/Colorado/Everywhere	3608
VanellaGroup	MariAnne Vanella	female	32345	21719	SF Bay Area	3612
WarrenBuffett	Warren Buffett	male	1406780	9	Omaha, NE	2064
ayahbdeir	ayah bdeir	unknown	20344	2382	New York	3157
brit	Brit Morin	female	45013	15082	San Francisco	4519
bryankramer	Bryan Kramer - Keynote Speaker	male	211222	78193	Silicon Valley	3729
bulletproofexec	Dave Asprey	male	337864	25184	Milky Way	3135
caencontee	Caen Contee	unknown	53467	4991	San Francisco, CA	2607
ceoworld	Dr. Amarendra Bhushan Dhiraj	unknown	348988	55185	Attiki, Greece	3851
christofouche	Christo Fouche	unknown	38456	1325	South Africa	3208
cindypinkceo	Cindy Eckert	female	26765	2440	nan	975
ckburgess	Cheryl K. Burgess	female	30716	48500	NJ | USA	3553
davidgold	David Gold	male	192894	18847	caterham england	2781
davidjonesOYW	david jones	male	32939	6745	New York	3314
davidmeltzer	David Meltzer	male	6753	1883	Orange County, CA	3475
debraruh	Debra Ruh	female	164021	241458	Virginia	3660
drewhouston	Drew Houston	male	277199	416	San Francisco, CA	3915
drrodberger	Rod Berger PsyD	male	16680	11882	Nashville TN	2878
elonmusk	Elon Musk	male	22325758	5360	nan	3481
evankirstel	Evan Kirstel	male	209056	698023	Boston, MA	3520
flintbedrock	Flint Bedrock	unknown	159494	12213	London	2823
gchahal	Gurbaksh Chahal	male	122409	11391	Las Vegas, NV	3897
gileyal	Gil Eyal	male	24764	4520	New York	3432
goldstarjim	Jim McCarthy	male	30709	3605	California Republic	3473
gp_pulipaka	Dr. GP Pulipaka	unknown	44484	41072	Los Angeles, CA	1123
gschildge	George Schildge	male	12995	11343	United States	3265
iancsmatthews	Ian Matthews	male	89948	889	Washington, DC	1484
imtomriley	Tom Riley	male	25786	56463	Massachusetts, USA	799
jack	jack	male	4026585	24266	nan	4650
jasonbwill	Jason Will	male	28226	12898	San Diego, CA	3362
jeffweiner	Jeff Weiner	male	597049	4099	nan	3596
jmalvpal	JM Alvarez-Pallete	unknown	71574	34992	Europa	3027
johnelincoln	John Lincoln	male	172413	22306	San Diego, CA	3542
johnhall	John Hall	male	256399	3407	Missouri, USA	2625
josefholm	Josef Holm	male	50270	34250	Santa Monica, CA	3433
kcren	Kevin Crenshaw	male	38771	5307	USA (Worldwide)	2589
larryellison	Larry Ellison	male	99707	2	nan	2387
larrykim	Larry Kim	male	798602	61696	Boston, MA	3662
leeannallman	Lee Ann Allman	male	48596	12181	nan	3128
levie	Aaron Levie	male	2539773	3760	Palo Alto	4296
marceloclaure	MarceloClaure	unknown	224326	13729	Tokyo/ KC / Miami / La Paz	3305
marissamayer	marissamayer	unknown	1665668	1409	San Francisco, CA	3676
mcuban	Mark Cuban	male	7769938	2729	nan	3746
michael_saylor	Michael Saylor	male	137751	1002	Tysons Corner, VA	2875
pppaolo	Paolo Privitera	male	35414	6620	San Francisco, CA	3975
reedhastings	Reed Hastings	male	40499	81	nan	3823
richardbranson	Richard Branson	male	12393124	21027	nan	4140
rui	Rui Delgado	male	99682	35426	New York, NY	4020
sarahkunst	sarah kunst	female	19248	4727	nan	3637
satyanadella	Satya Nadella	male	1735094	835	nan	3593
shashwatpradhan	Shashwat Pradhan	unknown	45003	4695	San Francisco, CA	2843
sherrychris	Sherry Chris	female	30024	12604	Everywhere... eventually!	3892
spencerrascoff	Spencer Rascoff	male	74827	19047	nan	3619
sundarpichai	Sundar Pichai	unknown	1948237	1135	nan	3929
suziday123	Suzi Day	female	38384	90128	San Diego, CA	1830
thubten	Thubten	unknown	186519	18133	Portland, Oregon	3806
tikhon	Tikhon Bernstam	unknown	14565	3073	New York, NY	4295
tim_cook	Tim Cook	male	10883339	586	Cupertino	1961
tonyfernandes	Tony Fernandes	male	1294587	19330	ÜT: 3.134334,101.688174	3659
whitespaceatwrk	Juliet Funt	female	32119	2694	nan	1420
yaqui	Yaqui Núñez	unknown	25362	60773	Santo Domingo, Dominican Republic	4350
